,speaker_id,text,path
423,p303,"In essence, the teaching profession has a choice.",./data/VCTK/raw/wav8/p303/p303_058.wav
424,p303,Repayment is not part of the game.,./data/VCTK/raw/wav8/p303/p303_070.wav
425,p303,Seven children had lost both parents.,./data/VCTK/raw/wav8/p303/p303_064.wav
426,p303,Sergio was talking his chances down yesterday.,./data/VCTK/raw/wav8/p303/p303_272.wav
427,p303,There is no such thing.,./data/VCTK/raw/wav8/p303/p303_266.wav
428,p303,And he had much need.,./data/VCTK/raw/wav8/p303/p303_299.wav
429,p303,Some have other commitments.,./data/VCTK/raw/wav8/p303/p303_306.wav
430,p303,"We have the location, which is assured.",./data/VCTK/raw/wav8/p303/p303_312.wav
431,p303,It could have been a hammering by now.,./data/VCTK/raw/wav8/p303/p303_138.wav
432,p303,"It's such a beautiful place, like a palace in Italy.",./data/VCTK/raw/wav8/p303/p303_104.wav
433,p303,There was no time scale.,./data/VCTK/raw/wav8/p303/p303_110.wav
434,p303,Only the scale of change differed.,./data/VCTK/raw/wav8/p303/p303_111.wav
435,p303,Referees are easy targets.,./data/VCTK/raw/wav8/p303/p303_105.wav
436,p303,"Subs not used, Fernandez.",./data/VCTK/raw/wav8/p303/p303_139.wav
437,p303,Rapid revision was required.,./data/VCTK/raw/wav8/p303/p303_313.wav
438,p303,"Last week, he was taken into hospital.",./data/VCTK/raw/wav8/p303/p303_307.wav
439,p303,I felt the head was very like me.,./data/VCTK/raw/wav8/p303/p303_298.wav
440,p303,I feel very strongly about that.,./data/VCTK/raw/wav8/p303/p303_267.wav
441,p303,It is now very clear that that doesn't work.,./data/VCTK/raw/wav8/p303/p303_273.wav
442,p303,"It is par for the course, isn't it?",./data/VCTK/raw/wav8/p303/p303_065.wav
443,p303,The cause of the crash was unclear.,./data/VCTK/raw/wav8/p303/p303_071.wav
444,p303,The partnership was set up during the summer.,./data/VCTK/raw/wav8/p303/p303_059.wav
445,p303,Most people know that.,./data/VCTK/raw/wav8/p303/p303_067.wav
446,p303,Two people are allowed to share the duty.,./data/VCTK/raw/wav8/p303/p303_073.wav
447,p303,She is on a life support machine.,./data/VCTK/raw/wav8/p303/p303_098.wav
448,p303,Do you think you have a shot?,./data/VCTK/raw/wav8/p303/p303_259.wav
449,p303,I've seen some of the submissions.,./data/VCTK/raw/wav8/p303/p303_265.wav
450,p303,It wasn't a conscious decision not to shout.,./data/VCTK/raw/wav8/p303/p303_271.wav
451,p303,Some of his family still live there.,./data/VCTK/raw/wav8/p303/p303_339.wav
452,p303,That was moving the goalposts.,./data/VCTK/raw/wav8/p303/p303_311.wav
453,p303,His arguments were supported by Mr Bevan.,./data/VCTK/raw/wav8/p303/p303_305.wav
454,p303,"Winning, meanwhile, is headed back to New York City.",./data/VCTK/raw/wav8/p303/p303_113.wav
455,p303,Urgent action is needed to tackle this crisis.,./data/VCTK/raw/wav8/p303/p303_107.wav
456,p303,The luxury has been well used.,./data/VCTK/raw/wav8/p303/p303_106.wav
457,p303,Tell you the team he picked?,./data/VCTK/raw/wav8/p303/p303_112.wav
458,p303,Andrew McLellan is no exception.,./data/VCTK/raw/wav8/p303/p303_304.wav
459,p303,The crowd was awesome.,./data/VCTK/raw/wav8/p303/p303_310.wav
